block 0000 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0380 | PDF 32 | trang 22 | Precision cao thể hiện ít báo nhầm trong các kết quả dự đoán, còn Recall cao thể hiện khả năng hạn chế bỏ sót. Để đánh giá sự cân bằng giữa hai chỉ số, sử dụng điểm F1: 
block 0382 | PDF 32 | trang 22 | Các chỉ số trên có giá trị từ 0 đến 1; giá trị cao thể hiện kết quả tốt hơn theo tiêu chí tương ứng. Chúng phụ thuộc vào ngưỡng độ tin cậy và điều kiện ghép dự đoán với đối chứng.
block 0383 | PDF 32 | trang 22 | 2.4.1.3. Độ chính xác trung bình
block 0384 | PDF 32 | trang 22 | Khi thay đổi ngưỡng độ tin cậy, các cặp giá trị Precision và Recall tạo thành đường cong Precision–Recall. Độ chính xác trung bình của một lớp, ký hiệu AP, được xác định từ diện tích dưới đường cong này theo quy tắc nội suy của bộ đánh giá.
block 0385 | PDF 32 | trang 22 | Chỉ số mAP là trung bình AP của các lớp được đánh giá. Với C lớp và ngưỡng IoU τ, chỉ số được biểu diễn:
block 0387 | PDF 57 | trang 47 | Trong đó:
block 0393 | PDF 32 | trang 22 | Hai chỉ số mAP thường được sử dụng là:
block 0394 | PDF 32 | trang 22 | mAP@50: mAP tại ngưỡng IoU bằng 0,50
block 0395 | PDF 33 | trang 23 | mAP@50–95: trung bình mAP tại 10 ngưỡng IoU từ 0,50 đến 0,95 với bước tăng 0,05.
block 0396 | PDF 33 | trang 23 | Các ngưỡng IoU cao đặt ra yêu cầu chặt chẽ hơn về vị trí và kích thước khung dự đoán. Vì vậy, mAP@50–95 phản ánh chất lượng phát hiện trên nhiều mức yêu cầu định vị. Khi đánh giá mô hình nhiều lớp, cần xem xét cả chỉ số tổng hợp và kết quả từng lớp để nhận biết những lớp còn báo nhầm hoặc bỏ sót nhiều.
block 0397 | PDF 33 | trang 23 | 2.4.2. Ma trận nhầm lẫn, đường cong đánh giá 
block 0398 | PDF 33 | trang 23 | Ma trận nhầm lẫn thể hiện quan hệ giữa lớp thực tế và lớp dự đoán, giúp nhận biết những lớp được phân loại đúng hoặc thường bị nhầm lẫn. Trong bài toán phát hiện đối tượng, ma trận được xây dựng sau khi ghép các khung dự đoán với khung đối chứng theo điều kiện đánh giá.
block 0399 | PDF 33 | trang 23 | Các ô trên đường chéo của những lớp đối tượng thể hiện kết quả phân loại đúng; các ô ngoài đường chéo giữa các lớp thể hiện sự nhầm lẫn. Hàng và cột nền (background) được bổ sung để biểu diễn đối tượng bị bỏ sót và dự đoán không ghép được với đối chứng. Khi đọc ma trận, cần xác định rõ trục biểu diễn lớp thực tế và trục biểu diễn lớp dự đoán để diễn giải đúng kết quả.
block 0400 | PDF 33 | trang 23 | Ngoài ma trận nhầm lẫn, các đường cong hỗ trợ quan sát sự thay đổi của chỉ số theo ngưỡng độ tin cậy được trình bày ở bảng 2.3:
block 0401 | PDF 33 | trang 23 | Bảng 2.3. Các đường cong đánh giá
block 0404 | PDF 33 | trang 23 | Các đường cong hỗ trợ lựa chọn ngưỡng phù hợp với yêu cầu hạn chế báo nhầm và bỏ sót. Cần xem xét kết quả theo từng lớp bên cạnh kết quả tổng hợp, vì chỉ số trung bình có thể che khuất những lớp nhận diện chưa tốt. Đối với ma trận nhầm lẫn, việc xem cả số lượng và tỷ lệ giúp hạn chế nhận xét thiên lệch khi số mẫu giữa các lớp không đồng đều.
block 0405 | PDF 34 | trang 24 | 2.4.3. Sai số đếm và thời gian xử lý
block 0406 | PDF 34 | trang 24 | Sai số đếm phản ánh mức chênh lệch giữa số lượng hệ thống ghi nhận và số lượng đối chứng được xác định bằng kiểm tra thủ công. Việc so sánh cần thống nhất đơn vị đếm, vì số người, số xe và số mã theo dõi không đồng nhất.
block 0407 | PDF 34 | trang 24 | Với mẫu dữ liệu thứ i, sai số tuyệt đối được tính bằng:
block 0409 | PDF 34 | trang 24 | Sai số tuyệt đối trung bình trên toàn bộ tập đánh giá:
block 0411 | PDF 57 | trang 47 | Trong đó:
block 0417 | PDF 34 | trang 24 | Số đếm trùng khớp chưa bảo đảm từng trường hợp đều được nhận diện đúng vì báo nhầm và bỏ sót có thể bù trừ nhau. Do đó, cần xem xét thêm các trường hợp ghi nhận sai, bỏ sót và đếm trùng.
block 0418 | PDF 34 | trang 24 | Thời gian xử lý toàn hệ thống được tính từ lúc bắt đầu xử lý tệp đến khi lưu xong kết quả, bao gồm đọc dữ liệu, nhận diện, liên kết, theo dõi và lưu trữ. Riêng tốc độ suy luận của mô hình có thể được biểu diễn bằng số khung hình xử lý trong một giây:
block 0421 | PDF 57 | trang 47 | Trong đó:
block 0425 | PDF 34 | trang 24 | Chỉ số này không thay thế thời gian xử lý toàn hệ thống. Khi so sánh hiệu năng, cần xét trong cùng điều kiện phần cứng và cấu hình xử lý.
block 0426 | PDF 35 | trang 25 | 2.5. Kết luận chương 
block 0427 | PDF 35 | trang 25 | Chương 2 đã trình bày cơ sở lý thuyết về phát hiện đối tượng bằng mô hình YOLO, dữ liệu gán nhãn, học chuyển giao và tinh chỉnh khi thay đổi số lớp. Các tham số huấn luyện và nguyên tắc lựa chọn mô hình được giới thiệu nhằm làm rõ cơ sở phát triển mô hình nhận diện. Chương cũng đề cập đến tiền xử lý ảnh, lấy mẫu khung hình video, liên kết đối tượng theo quan hệ không gian và phương pháp Centroid Tracking, đồng thời chỉ ra những giới hạn cần lưu ý khi áp dụng.
block 0428 | PDF 35 | trang 25 | Bên cạnh đó, chương đã giới thiệu các công cụ, môi trường huấn luyện và công nghệ xây dựng ứng dụng. Các chỉ số đánh giá mô hình, ma trận nhầm lẫn, đường cong đánh giá, sai số đếm và thời gian xử lý tạo cơ sở xem xét chất lượng nhận diện và hiệu năng của hệ thống. Những nội dung này là nền tảng cho việc phân tích yêu cầu, thiết kế kiến trúc, quy trình xử lý và tổ chức dữ liệu được trình bày trong chương 3.
block 0430 | PDF 36 | trang 26 | CHƯƠNG 3. PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG
block 0431 | PDF 36 | trang 26 | 3.1. Phân tích yêu cầu hệ thống
block 0432 | PDF 36 | trang 26 | 3.1.1. Đối tượng sử dụng và phạm vi hoạt động
block 0433 | PDF 36 | trang 26 | 3.1.1.1. Đối tượng sử dụng
block 0434 | PDF 36 | trang 26 | Đối tượng sử dụng là người có nhu cầu quản lý, phân tích dữ liệu ảnh và video giao thông, chẳng hạn người thực hiện khảo sát hoặc người phụ trách tổng hợp số liệu phục vụ tuyên truyền, giám sát.
block 0435 | PDF 36 | trang 26 | Trong phạm vi đồ án, hệ thống có người dùng với các chức năng nghiệp vụ chung:
block 0436 | PDF 36 | trang 26 | Đăng nhập, đăng ký để quản lý dữ liệu
block 0437 | PDF 36 | trang 26 | Yêu cầu phân tích, xem kết quả và thống kê. 
block 0438 | PDF 36 | trang 26 | Hệ thống chưa phân chia thành nhiều vai trò nghiệp vụ riêng biệt.
block 0439 | PDF 36 | trang 26 | 3.1.1.2. Phạm vi hoạt động
block 0440 | PDF 36 | trang 26 | Hệ thống tiếp nhận các tệp ảnh và video do người dùng tải lên. Dữ liệu được tổ chức theo cấu trúc:
block 0441 | PDF 36 | trang 26 | Dự án → Địa điểm → Phiên phân tích → Tệp ảnh/video và kết quả.
block 0442 | PDF 36 | trang 26 | Mỗi phiên phân tích gắn với một địa điểm, ngày và khoảng thời gian khảo sát do người dùng khai báo. Hệ thống thực hiện nhận diện, lưu kết quả và ảnh minh chứng, đồng thời tổng hợp số lượng, tỷ lệ các trường hợp không đội mũ theo địa điểm và thời gian.
block 0443 | PDF 36 | trang 26 | Phần nhận diện xem xét trạng thái đội mũ và mối liên hệ giữa vùng đầu với xe máy, chưa phân biệt chắc chắn người điều khiển với người ngồi sau. Hệ thống không nhận diện danh tính, biển số hoặc tự động xử phạt. Số liệu thống kê phản ánh kết quả trên dữ liệu đã phân tích và cần được đối chiếu với minh chứng khi sử dụng.
block 0444 | PDF 36 | trang 26 | 3.1.2. Yêu cầu chức năng
block 0445 | PDF 36 | trang 26 | Các yêu cầu chức năng được xác định dựa trên quy trình từ tiếp nhận dữ liệu đến khai thác kết quả được trình bày trong bảng 3.1: 
block 0449 | PDF 37 | trang 27 | Bảng 3.1. Yêu cầu chức năng
block 0451 | PDF 37 | trang 27 | Đối với dữ liệu đầu vào, hệ thống cần kiểm tra định dạng tệp, dung lượng cho phép, sự phù hợp giữa dự án và địa điểm, đồng thời yêu cầu giờ kết thúc phải sau giờ bắt đầu. Các thông tin không hợp lệ cần được thông báo để người dùng điều chỉnh trước khi xử lý.
block 0452 | PDF 37 | trang 27 | 3.1.3. Yêu cầu phi chức năng
block 0453 | PDF 37 | trang 27 | Bên cạnh các chức năng nghiệp vụ, hệ thống cần đáp ứng những yêu cầu về khả năng sử dụng, xử lý dữ liệu và bảo trì. Các yêu cầu này là cơ sở để xây dựng kịch bản kiểm thử và đánh giá mức độ hoàn thiện của ứng dụng, nội dung chi tiết ở bảng 3.2:
block 0454 | PDF 37 | trang 27 | Bảng 3.2. Yêu cầu phi chức năng
block 0456 | PDF 38 | trang 28 | Về chất lượng nhận diện, hệ thống cần được kiểm tra khả năng báo nhầm, bỏ sót và đếm trùng trên dữ liệu đối chứng. Mức độ đáp ứng các yêu cầu trên được kiểm tra thông qua các kịch bản và kết quả thực nghiệm trình bày trong chương sau.
block 0457 | PDF 38 | trang 28 | 3.1.4. Mô hình hóa chức năng
block 0458 | PDF 38 | trang 28 | 3.1.4.1. Tác nhân của hệ thống
block 0459 | PDF 38 | trang 28 | Tác nhân chính là Người dùng, thực hiện các thao tác thông qua giao diện web. Người dùng có thể đăng ký tài khoản, đăng nhập, quản lý dữ liệu, yêu cầu phân tích ảnh/video, xem kết quả và khai thác thống kê.
block 0460 | PDF 38 | trang 28 | Các chức năng quản lý và phân tích dữ liệu yêu cầu người dùng đăng nhập hợp lệ, đồng thời có quyền truy cập dự án tương ứng. Trong phạm vi đồ án, hệ thống cho người quản lý sử dụng với các chức năng nghiệp vụ chung.
block 0461 | PDF 39 | trang 29 | 3.1.4.2 Biểu đồ UseCase tổng quát 
block 0474 | PDF 39 | trang 29 | Hình 3.1. Biểu đồ UseCase tổng quát
block 0475 | PDF 39 | trang 29 | 3.1.5. Đặc tả UseCase
block 0476 | PDF 39 | trang 29 | 3.1.5.1. UseCase Đăng nhập
block 0479 | PDF 40 | trang 30 | 3.1.5.2. UseCase Đăng ký
block 0482 | PDF 41 | trang 31 | 3.1.5.3. UseCase Quản lý dự án
block 0485 | PDF 42 | trang 32 | 3.1.5.4. UseCase Quản lý địa điểm
block 0488 | PDF 43 | trang 33 | 3.1.5.5. UseCase Phân tích ảnh và video
block 0491 | PDF 45 | trang 35 | 3.1.5.6. UseCase xem kết quả và minh chứng
block 0494 | PDF 46 | trang 36 | 3.1.5.7. UseCase Thống kê kết quả phân tích
block 0497 | PDF 47 | trang 37 | 3.1.5.8. UseCase Tải kết quả phân tích
block 0500 | PDF 49 | trang 39 | 3.2. Thiết kế kiến trúc và quy trình hoạt động
block 0501 | PDF 49 | trang 39 | 3.2.1. Kiến trúc tổng thể và vai trò các thành phần
block 0503 | PDF 49 | trang 39 | Hình 3.2. Kiến trúc tổng thể của hệ thống.
block 0504 | PDF 49 | trang 39 | Hệ thống được thiết kế theo mô hình khách – chủ. Giao diện web tiếp nhận thao tác và hiển thị thông tin cho người dùng; ứng dụng máy chủ xử lý yêu cầu, thực hiện nhận diện và tổng hợp kết quả. Dữ liệu quản lý được lưu trong cơ sở dữ liệu, còn ảnh, video và minh chứng được lưu trong kho tệp trên máy chủ.
block 0505 | PDF 49 | trang 39 | Giao diện được xây dựng bằng React và TypeScript, giao tiếp với máy chủ FastAPI thông qua API HTTP. Các chức năng nghiệp vụ và xử lý nhận diện được tổ chức thành những mô-đun trong cùng ứng dụng máy chủ. Vai trò của từng thành phần được trình bày trong bảng 3.3:
block 0506 | PDF 49 | trang 39 | Bảng 3.3. Các thành phần kiến trúc 
block 0508 | PDF 50 | trang 40 | Các tác vụ phân tích được thực hiện ở nền. Trong thời gian xử lý, giao diện định kỳ truy vấn thông tin từ máy chủ để cập nhật trạng thái và tiến độ. Khi hoàn thành, người dùng có thể xem kết quả, đối chiếu minh chứng, khai thác thống kê và tải dữ liệu.
block 0509 | PDF 50 | trang 40 | Quá trình huấn luyện mô hình được thực hiện trong môi trường riêng. Trọng số được lựa chọn sau huấn luyện và đánh giá sẽ được tích hợp vào mô-đun nhận diện để phục vụ phân tích ảnh, video của hệ thống.
block 0510 | PDF 50 | trang 40 | 3.2.2. Quy trình tiếp nhận và phân tích ảnh, video
block 0511 | PDF 50 | trang 40 | Quy trình được thiết kế từ bước tiếp nhận dữ liệu, tạo phiên phân tích đến xử lý và lưu kết quả. Ảnh và video sử dụng chung mô hình nhận diện; riêng video có thêm bước theo dõi đối tượng và xác nhận trạng thái qua nhiều khung hình.
block 0514 | PDF 51 | trang 41 |      Hình 3.3. Quy trình tiếp nhận và phân tích ảnh, video
block 0516 | PDF 52 | trang 42 | Bước 1: Khai báo thông tin và tải dữ liệu
block 0517 | PDF 52 | trang 42 | Người dùng chọn dự án, địa điểm, khai báo ngày và khoảng thời gian khảo sát, sau đó chọn hoặc kéo thả một hay nhiều tệp ảnh/video để gửi yêu cầu phân tích.
block 0518 | PDF 52 | trang 42 | Bước 2: Kiểm tra dữ liệu đầu vào
block 0519 | PDF 52 | trang 42 | Máy chủ kiểm tra xác thực, quyền truy cập, các trường bắt buộc, định dạng và dung lượng tệp. Địa điểm phải thuộc dự án đã chọn và giờ kết thúc phải sau giờ bắt đầu. Nếu thông tin không hợp lệ, hệ thống thông báo để người dùng điều chỉnh.
block 0520 | PDF 52 | trang 42 | Bước 3: Lưu dữ liệu và khởi tạo phiên phân tích
block 0521 | PDF 52 | trang 42 | Khi yêu cầu hợp lệ, máy chủ lưu tệp nguồn, tạo phiên phân tích cùng các bản ghi tệp ở trạng thái chờ xử lý (PENDING), sau đó khởi tạo tác vụ nền. Giao diện nhận thông tin phiên để theo dõi tiến độ. Khi bắt đầu xử lý, trạng thái chuyển sang PROCESSING.
block 0522 | PDF 52 | trang 42 | Bước 4: Thực hiện phân tích
block 0523 | PDF 52 | trang 42 | Các tệp trong phiên được xử lý lần lượt. Đối với ảnh, hệ thống thực hiện nhận diện, liên kết vùng đầu với xe máy và xác định trạng thái đội mũ. Đối với video, hệ thống đọc và lấy mẫu khung hình, thực hiện nhận diện, liên kết, theo dõi và xác nhận trạng thái nhằm hạn chế đếm trùng. Các quy tắc xử lý cụ thể được trình bày tại mục 3.3.
block 0524 | PDF 52 | trang 42 | Bước 5: Lưu kết quả và cập nhật tiến độ
block 0525 | PDF 52 | trang 42 | Sau khi xử lý từng tệp, hệ thống lưu số lượng đối tượng, các trường hợp được ghi nhận, ảnh/video kết quả và minh chứng. Trạng thái, tiến độ được cập nhật để giao diện truy vấn và hiển thị. Nếu một tệp gặp lỗi, hệ thống ghi nhận thông báo và tiếp tục xử lý các tệp còn lại.
block 0526 | PDF 52 | trang 42 | Bước 6: Kết thúc phiên phân tích
block 0527 | PDF 52 | trang 42 | Khi tất cả các tệp đã kết thúc xử lý, số liệu của phiên được tổng hợp từ các tệp thành công. Phiên có ít nhất một tệp thành công chuyển sang trạng thái COMPLETED, kèm thông báo nếu có tệp lỗi. Nếu toàn bộ tệp thất bại, phiên chuyển sang FAILED. Người dùng có thể xem trạng thái và truy cập những kết quả đã được lưu.
block 0528 | PDF 53 | trang 43 | 3.2.3. Quy trình tổng hợp thống kê và cung cấp kết quả
block 0529 | PDF 53 | trang 43 | Kết quả phân tích được tổng hợp theo dự án, địa điểm và thời gian để hỗ trợ người dùng tra cứu, đối chiếu và khai thác số liệu. Quy trình gồm các bước sau:
block 0530 | PDF 53 | trang 43 | Bước 1: Xác định phạm vi và truy xuất dữ liệu
block 0531 | PDF 53 | trang 43 | Người dùng lựa chọn dự án hoặc địa điểm cần xem. Máy chủ kiểm tra quyền truy cập và lấy dữ liệu từ các phiên đã hoàn thành. Với phiên có tệp xử lý thất bại, số liệu thống kê chỉ sử dụng kết quả của những tệp thành công.
block 0532 | PDF 53 | trang 43 | 	Bước 2: Tổng hợp các chỉ số
block 0533 | PDF 53 | trang 43 | 	Hệ thống tổng hợp tổng số xe máy được ghi nhận và số xe có trạng thái NO_HELMET. Đối với video, mỗi track_id được xem là một đối tượng trong phạm vi tệp. Tỷ lệ trường hợp NO_HELMET được tính theo công thức:
block 0535 | PDF 57 | trang 47 | Trong đó:
block 0539 | PDF 53 | trang 43 | Tử số và mẫu số phải được tính trên cùng phạm vi dữ liệu. Nếu tổng số xe bằng 0, tỷ lệ được quy ước bằng 0 để tránh phép chia không xác định.
block 0540 | PDF 53 | trang 43 | Chỉ số này phản ánh trạng thái tổng hợp của các xe được phân tích; không nên hiểu trực tiếp là tỷ lệ người điều khiển không đội mũ, vì hệ thống chưa phân biệt chắc chắn người lái và người ngồi sau.
block 0541 | PDF 53 | trang 43 | Bước 3: Phân nhóm theo địa điểm và thời gian
block 0542 | PDF 53 | trang 43 | Số liệu được nhóm theo địa điểm và khoảng thời gian khai báo của phiên, từ đó xác định khoảng có số trường hợp không đội mũ được ghi nhận cao nhất.
block 0543 | PDF 54 | trang 44 | Đối với thống kê thời gian chi tiết từ video, thời điểm của một trường hợp được tính bằng giờ bắt đầu phiên cộng với thời điểm xác nhận trong video. Các video trong cùng phiên sử dụng chung mốc giờ bắt đầu. Ảnh tĩnh không có thời điểm tương đối nên không tham gia cách thống kê chi tiết này.
block 0544 | PDF 54 | trang 44 | Bước 4: Hiển thị kết quả
block 0545 | PDF 54 | trang 44 | Máy chủ cung cấp dữ liệu để giao diện hiển thị các chỉ số tổng hợp, bảng và biểu đồ thống kê. Người dùng có thể xem lại các phiên liên quan, ảnh/video kết quả và minh chứng để kiểm tra nguồn số liệu.
block 0546 | PDF 54 | trang 44 | Bước 5: Cung cấp gói kết quả
block 0547 | PDF 54 | trang 44 | Khi người dùng yêu cầu tải dữ liệu, hệ thống kiểm tra quyền truy cập và tạo gói ZIP theo phạm vi phiên phân tích, địa điểm hoặc dự án. Gói tải gồm thông tin tổng hợp, danh sách trường hợp được ghi nhận và các tệp nguồn, kết quả, minh chứng hiện có trên máy chủ.
block 0548 | PDF 54 | trang 44 | 3.3. Thiết kế xử lý nhận diện và ghi nhận kết quả
block 0549 | PDF 54 | trang 44 | Trong quy trình xử lý của hệ thống, xe máy được sử dụng làm đơn vị đối tượng chính để liên kết, theo dõi và tổng hợp số lượng. Đối với ảnh, mỗi xe máy được phát hiện được xem là một đối tượng; đối với video, mỗi mã theo dõi (track_id) tương ứng với một xe máy trong phạm vi một tệp video. Các vùng đầu có mũ và không mũ được sử dụng để xác định trạng thái của xe thông qua quan hệ không gian.
block 0550 | PDF 54 | trang 44 | Do mô hình chưa có nhãn riêng để phân biệt người điều khiển và người ngồi sau, trạng thái NO_HELMET của một xe được hiểu là xe có ít nhất một vùng đầu không đội mũ được liên kết, không đồng nghĩa với việc hệ thống đã xác định chắc chắn người điều khiển là người không đội mũ. Giới hạn này được giữ rõ trong quá trình ghi nhận và đánh giá kết quả
block 0551 | PDF 54 | trang 44 | 3.3.1. Liên kết vùng đầu với xe máy và xác định trạng thái đội mũ
block 0552 | PDF 54 | trang 44 | Kết quả nhận diện được phân thành ba nhóm: vùng đầu có mũ, vùng đầu không mũ và xe máy. Hệ thống sử dụng quan hệ không gian để liên kết vùng đầu với xe, từ đó xác định trạng thái đội mũ của đối tượng được ghi nhận.
block 0553 | PDF 54 | trang 44 | 3.3.1.1. Xác định vùng liên kết
block 0556 | PDF 55 | trang 45 | Vùng kiểm tra được mở rộng từ khung xe như sau:
block 0559 | PDF 55 | trang 45 | 3.3.1.2. Lựa chọn xe phù hợp
block 0560 | PDF 55 | trang 45 | Khi vùng đầu nằm trong vùng kiểm tra của nhiều xe, hệ thống chọn xe có điểm khoảng cách chuẩn hóa nhỏ nhất:
block 0563 | PDF 55 | trang 45 | Mỗi vùng đầu được ghép với tối đa một xe, trong khi một xe có thể liên kết với nhiều vùng đầu. Khi đã phát hiện được xe, những vùng đầu không tìm được liên kết phù hợp sẽ không được đưa vào danh sách đối tượng ghi nhận.
block 0564 | PDF 55 | trang 45 | 3.3.1.3. Xác định trạng thái đội mũ
block 0565 | PDF 55 | trang 45 | Sau khi liên kết các vùng đầu với xe máy, hệ thống tổng hợp thông tin của các vùng đầu để xác định trạng thái của từng xe. Quy tắc được trình bày trong bảng 3.4:
block 0566 | PDF 55 | trang 45 |  Bảng 3.4. Quy tắc xác định trạng thái 
block 0568 | PDF 56 | trang 46 | Trạng thái NO_HELMET được ưu tiên khi một xe đồng thời liên kết với vùng đầu có mũ và vùng đầu không mũ. Quy tắc này nhằm ghi nhận trường hợp trên xe có xuất hiện người không đội mũ bảo hiểm. Tuy nhiên, do một xe có thể chở nhiều người và mô hình chưa phân biệt vai trò người điều khiển với người ngồi sau, trạng thái này không được sử dụng để khẳng định riêng người điều khiển không đội mũ.
block 0569 | PDF 56 | trang 46 | Trạng thái UNKNOWN được sử dụng khi đã phát hiện xe nhưng không có đủ thông tin vùng đầu để xác định trạng thái. Việc giữ trạng thái này giúp tránh ép các trường hợp thiếu thông tin vào nhóm có mũ hoặc không mũ.
block 0570 | PDF 56 | trang 46 | 3.3.1.4. Trường hợp không phát hiện xe và giới hạn
block 0571 | PDF 56 | trang 46 | Các vùng đầu chỉ được sử dụng để ghi nhận trạng thái khi có thể liên kết với một xe máy phù hợp. Nếu mô hình phát hiện vùng đầu nhưng không phát hiện được xe tương ứng, hoặc vùng đầu không thỏa mãn điều kiện liên kết với bất kỳ xe nào, phát hiện đó không được đưa vào số liệu có mũ hoặc không mũ của hệ thống.
block 0572 | PDF 56 | trang 46 | Cách xử lý này nhằm hạn chế trường hợp vùng đầu của người đi bộ bị ghi nhận nhầm là người đi xe máy không đội mũ. Đổi lại, hệ thống có thể bỏ sót một số trường hợp thực tế khi người đi xe máy được phát hiện vùng đầu nhưng mô hình không phát hiện được phương tiện. Sự đánh đổi giữa giảm báo nhầm và tăng nguy cơ bỏ sót cần được đánh giá trên dữ liệu kiểm thử.
block 0573 | PDF 56 | trang 46 | Ngoài ra, phương pháp liên kết dựa trên quan hệ hình học vẫn có thể ghép nhầm khi người đi bộ đứng gần xe máy, nhiều phương tiện nằm sát nhau hoặc đối tượng bị che khuất. Việc liên kết vùng đầu với xe chỉ xác định mối quan hệ không gian giữa các đối tượng, chưa đủ để phân biệt chắc chắn người điều khiển với người ngồi sau.
block 0574 | PDF 56 | trang 46 | 3.3.2. Theo dõi đối tượng trong video
block 0575 | PDF 56 | trang 46 | Hệ thống sử dụng phương pháp Centroid Tracking để duy trì mã định danh cho các đối tượng xuất hiện qua nhiều khung hình video. Sau bước liên kết vùng đầu với phương tiện và xác định trạng thái đội mũ, các đối tượng được đưa vào bộ theo dõi cùng thông tin hộp giới hạn và trạng thái nhận diện.
block 0576 | PDF 57 | trang 47 | Tại mỗi khung hình được chọn để phân tích, hệ thống tính tọa độ tâm của các đối tượng và đối chiếu với vị trí đã lưu ở lần quan sát trước. Việc liên kết dựa trên khoảng cách giữa các tâm, ưu tiên các cặp gần nhau và nằm trong ngưỡng cho phép. Mỗi mã định danh chỉ được gán cho một đối tượng trong cùng lần cập nhật.
block 0577 | PDF 57 | trang 47 | Nếu tìm được đối tượng phù hợp, hệ thống giữ nguyên mã định danh và cập nhật vị trí, hộp giới hạn cùng trạng thái nhận diện. Đối tượng chưa liên kết được với mã đang theo dõi sẽ được cấp mã mới. Khi một đối tượng tạm thời không xuất hiện, thông tin theo dõi được giữ trong số lần cập nhật cho phép; vượt quá giới hạn này, đối tượng được loại khỏi danh sách theo dõi đang hoạt động.
block 0578 | PDF 57 | trang 47 | Bộ theo dõi chỉ được cập nhật tại các khung hình có thực hiện nhận diện. Những khung hình bị bỏ qua trong quá trình lấy mẫu không được tính là một lần mất dấu. Mỗi video sử dụng bộ theo dõi riêng, do đó mã định danh chỉ có ý nghĩa trong phạm vi video đang xử lý.
block 0579 | PDF 57 | trang 47 | 3.3.3. Xác nhận trạng thái và hạn chế đếm trùng
block 0580 | PDF 57 | trang 47 | Đối với video, trạng thái được xác định ở một khung hình đơn lẻ có thể không ổn định do ảnh nhòe, che khuất hoặc sai số nhận diện. Vì vậy, hệ thống không tạo bản ghi ngay khi một xe được xác định ở trạng thái NO_HELMET trong một lần quan sát, mà kết hợp mã theo dõi (track_id) với chuỗi trạng thái qua nhiều khung hình để xác nhận trước khi ghi nhận kết quả.
block 0581 | PDF 57 | trang 47 | 3.3.3.1. Điều kiện xác nhận trạng thái
block 0582 | PDF 57 | trang 47 | Bộ đếm số lần liên tiếp đối tượng được nhận diện ở trạng thái không đội mũ được cập nhật như sau:
block 0584 | PDF 57 | trang 47 | Trong đó:
block 0589 | PDF 58 | trang 48 | • NO_HELMET: trạng thái của xe khi có ít nhất một vùng đầu không đội mũ được liên kết với xe.
block 0592 | PDF 58 | trang 48 | Đối tượng mới có trạng thái NO_HELMET được khởi tạo bộ đếm bằng 1. Bộ đếm tiếp tục tăng khi trạng thái NO_HELMET được duy trì ở các lần cập nhật kế tiếp. Nếu trạng thái chuyển sang HELMET, UNKNOWN hoặc đối tượng không được ghép thành công, chuỗi xác nhận bị gián đoạn và bộ đếm được đặt lại về 0.
block 0593 | PDF 58 | trang 48 | Khi bộ đếm đạt ngưỡng xác nhận K, mã theo dõi được xác nhận là một trường hợp NO_HELMET. Việc sử dụng ngưỡng K giúp giảm ảnh hưởng của các dự đoán sai chỉ xuất hiện trong một số ít khung hình. Giá trị K là tham số của hệ thống và cần được lựa chọn, kiểm chứng trên dữ liệu thực nghiệm để cân bằng giữa khả năng hạn chế báo nhầm và nguy cơ bỏ sót các đối tượng chỉ xuất hiện trong thời gian ngắn.
block 0594 | PDF 58 | trang 48 | 3.3.3.2. Ghi nhận một lần cho mỗi mã theo dõi. 
block 0595 | PDF 58 | trang 48 | Khi một track_id lần đầu đạt điều kiện xác nhận NO_HELMET, hệ thống tạo một bản ghi kết quả và lưu ảnh minh chứng tại khung hình xác nhận. Sau đó, track_id được đưa vào tập các mã đã ghi nhận. Nhờ đó, cùng một xe tiếp tục xuất hiện trong các khung hình sau sẽ không tạo thêm bản ghi NO_HELMET trong cùng tệp video.
block 0596 | PDF 58 | trang 48 | Kết quả đã xác nhận được giữ lại trong lịch sử xử lý của video. Các quan sát sau đó chỉ phục vụ duy trì theo dõi, không làm tăng số trường hợp đã ghi nhận đối với cùng track_id. Thời điểm lưu minh chứng là thời điểm đối tượng đạt điều kiện xác nhận, không nhất thiết là lần đầu hệ thống dự đoán trạng thái NO_HELMET
block 0597 | PDF 58 | trang 48 | 3.3.3.3. Tổng hợp số lượng và các giới hạn
block 0598 | PDF 59 | trang 49 | Trong một video, số trường hợp NO_HELMET được xác định theo số track_id đã đạt điều kiện xác nhận, thay vì tổng số lần trạng thái NO_HELMET xuất hiện ở các khung hình. Cách tính này giúp hạn chế đếm trùng khi cùng một xe xuất hiện liên tục trong video.
block 0599 | PDF 59 | trang 49 | Cơ chế theo dõi được thực hiện độc lập cho từng tệp video. Nếu một xe bị mất dấu và sau đó được cấp một track_id mới, đối tượng đó vẫn có nguy cơ bị đếm lại. Hệ thống cũng chưa thực hiện loại trùng giữa nhiều tệp video khác nhau. Ngoài ra, nếu một dự đoán sai NO_HELMET được duy trì trong nhiều khung hình liên tiếp, đối tượng vẫn có thể đạt điều kiện xác nhận. Vì vậy, khả năng đếm trùng, báo nhầm và bỏ sót cần được đánh giá bằng dữ liệu đối chứng trong phần thực nghiệm.
